new entry "Target_Elementalism"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Transmutation"
data "ContainerSpells" "Target_Gust;Target_MoldEarth_DifficultTerrain;Target_MoldEarth_ClearTerrain;Target_ControlFlames_Expand;Target_ControlFlames_Douse;Target_ShapeWater_Freeze;Target_ShapeWater_IceBlock;Teleportation_ShapeWater_Move"
data "TargetRadius" "9"
data "Icon" "Spell_New_CreateBonfire"
data "DisplayName" "h6f764152e3e04bbf9be148e9a32e81355453;1"
data "Description" "hb2aaa35a06744eafb8e590959cbb72e15b85;1"
data "PrepareSound" "Spell_Prepare_Utility_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Utility_Gen_L1to3_01_Loop"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;09ae2f11-f5b4-42f5-ae16-687a5b57d500,,;10caea0e-c949-4d91-8ab7-3b50019dd054,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;HasVerbalComponent;IsSpell;HasHighGroundRangeExtension;IsLinkedSpellContainer"
data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
data "CastEffect" "d96a454e-eb9b-4be9-bbb3-d21fab4ded25"
